	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
15194747.bel	COVID-19 Knowledge Graph	Shounak Baksi, Daniel Domingo-Fernández, Yojana Gadiya, Martin Hofmann-Apitius, Reagon Karki, Alpha Tom Kodamullil	26	8	9	1	67	9	13	1	10	1.81E-01	1	0
15294014.bel	15294014.bel	Priya S	1	1	1	1	5	19	30	1	5	8.77E-02	1	0
15878679.bel	15878679.bel	Abish K	3	1	2	0	8	11	32	1	23	2.91E-01	1	0
15916886.bel	15916886.bel	Geena Mariya Jose	4	1	2	1	4	11	15	1	5	1.36E-01	1	0
16014971.bel	16014971.bel	Thrishna	2	1	1	1	4	14	14	1	9	7.69E-02	2	0
16043521.bel	16043521.bel	Abish K	6	0	4	1	4	21	56	1	23	1.33E-01	1	0
16894145.bel	16894145.bel	Geena Mariya Jose	4	1	4	1	4	12	24	1	10	1.82E-01	1	0
17176632.bel	17176632.bel	Shounak Baksi	3	1	3	0	3	6	6	1	8	2.00E-01	1	0
17397959.bel	17397959.bel	Abish K	7	1	2	0	5	36	57	1	5	4.52E-02	1	0
19079579.bel	19079579.bel	Priya S	5	1	2	1	7	22	37	1	7	8.01E-02	1	0
19394665.bel	19394665.bel	Thrishna	4	1	2	1	5	6	7	1	16	2.33E-01	1	0
19398035.bel	19398035.bel	Geena Mariya Jose	3	1	3	1	4	22	63	1	9	1.36E-01	1	0
19906920.bel	19906920.bel	Shounak Baksi	5	1	3	1	3	33	37	1	7	3.50E-02	1	0
20020050.bel	20020050.bel	Shounak Baksi	2	1	2	0	3	12	15	1	6	1.14E-01	1	0
21356245.bel	21356245.bel	Thrishna	4	1	0	0	7	6	6	1	5	2.00E-01	1	0
22253445.bel	22253445.bel	Priya S	4	2	3	1	6	13	36	1	8	2.31E-01	1	0
22936401.bel	22936401.bel	Abish K	4	1	2	1	6	29	44	1	7	5.42E-02	1	0
24987391.bel	PMID_24987391	Yojana Gadiya	18	5	5	0	0	160	270	1	2	1.06E-02	11	0
25135833.bel	25135833.bel	Priya S	3	1	1	1	4	21	36	1	7	8.57E-02	1	0
28659436.bel	28659436.bel	Thrishna	4	3	3	0	9	16	22	1	23	9.17E-02	1	0
29217279.bel	29217279.bel	Priya S	6	2	2	1	5	13	25	1	3	1.60E-01	1	0
30301856.bel	30301856.bel	Abish K	6	0	3	1	6	35	51	1	9	4.29E-02	1	0
30310104.bel	30310104.bel	Geena Mariya Jose	4	1	4	1	7	6	10	1	17	3.33E-01	1	0
30463975.bel	30463975.bel	Geena Mariya Jose	3	2	3	1	7	14	31	1	13	1.70E-01	1	0
30761102.bel	30761102.bel	Abish K	4	2	1	1	5	21	47	1	4	1.12E-01	1	0
31233808.bel	31233808.bel	Priya S	2	1	2	0	5	4	5	1	10	4.17E-01	1	0
31724441.bel	31724441.bel	Abish K	1	2	0	0	5	9	18	1	4	2.50E-01	1	0
31986264.bel	31986264.bel	Priya S	5	0	1	0	5	35	51	1	29	4.29E-02	1	0
31987001.bel	31987001.bel	Shounak Baksi	4	1	3	0	5	14	15	1	7	8.24E-02	3	0
32081636.bel	PMID_32081636	Yojana Gadiya	7	3	0	0	0	20	30	1	5	7.89E-02	1	0
32083328.bel	32083328.bel	Shounak Baksi	2	0	0	0	4	7	17	1	6	4.05E-01	1	0
32094589.bel	32094589.bel	Priya S	4	0	1	0	4	9	6	1	3	8.33E-02	3	0
32104915.bel	32104915.bel	Geena Mariya Jose	6	0	3	0	5	38	65	1	3	4.62E-02	1	0
32109013.bel	32109013.bel	Priya S	5	0	2	1	5	19	27	1	38	7.89E-02	1	0
32113509.bel	32113509.bel	Shounak Baksi	7	1	1	0	4	19	36	1	7	1.05E-01	1	0
32113704.bel	PMID_32113704	Yojana Gadiya	7	2	1	0	0	31	50	1	2	5.38E-02	3	0
32119961.bel	https://doi.org/10.1016/j.lfs.2020.117477	Yojana Gadiya	3	2	1	0	1	34	55	1	0	4.90E-02	2	0
32120929.bel	32120929.bel	Priya S	4	4	1	1	7	5	20	1	7	1.00E+00	1	0
32125140.bel	32125140.bel	Priya S	6	2	2	0	6	22	22	1	4	4.76E-02	3	0
32125455.bel	32125455.bel	Thrishna	8	2	3	0	7	22	49	1	5	1.06E-01	2	0
32129518.bel	32129518.bel	Abish K	8	2	4	0	5	34	75	1	1	6.68E-02	1	0
32130973.bel	PMID_32130973	Geena Mariya Jose	7	2	1	0	0	58	91	1	3	2.75E-02	2	0
32132669.bel	32132669.bel	Shounak Baksi	5	0	0	0	4	8	9	1	2	1.61E-01	1	0
32142651.bel	32142651.bel	Priya S	6	1	1	0	4	25	47	1	13	7.83E-02	3	0
32142773.bel	32142773.bel	Thrishna	3	1	3	0	5	5	5	1	6	2.50E-01	1	0
32142938.bel	32142938.bel	Thrishna	6	1	1	0	4	21	41	1	3	9.76E-02	2	0
32147628.bel	32147628.bel	Geena Mariya Jose	10	3	3	0	4	89	177	1	3	2.26E-02	1	0
32155444.bel	32155444.bel	Priya S	6	1	2	0	4	8	14	1	6	2.50E-01	1	0
32165541.bel	32165541.bel	Abish K	6	1	2	1	5	14	24	1	18	1.32E-01	1	0
32166483.bel	32166483.bel	Priya S	6	1	2	0	8	44	75	1	2	3.96E-02	1	0
32167166.bel	32167166.bel	Geena Mariya Jose	5	0	1	1	4	13	25	1	5	1.60E-01	1	0
32167524.bel	32167524.bel	Geena Mariya Jose	6	0	5	0	6	38	92	1	23	6.54E-02	1	0
32169119.bel	PMID_32169119	Yojana Gadiya	6	2	1	0	0	53	103	1	9	3.74E-02	3	0
32169481.bel	32169481.bel	Thrishna	4	0	1	0	5	5	6	1	4	3.00E-01	1	0
32170560.bel	32170560.bel	Shounak Baksi	5	0	3	0	4	6	17	1	6	5.67E-01	1	0
32171076.bel	32171076.bel	Thrishna	7	0	2	0	4	27	41	1	19	5.84E-02	1	0
32171193.bel	32171193.bel	Geena Mariya Jose	7	0	2	0	4	26	33	1	7	5.08E-02	1	0
32171740.bel	PMID_32171740	Yojana Gadiya	8	1	4	0	1	78	91	1	4	1.52E-02	1	0
32172669.bel	32172669.bel	Abish K	6	0	2	1	9	21	30	1	1	7.14E-02	1	0
32173110.bel	32173110.bel	Thrishna	3	1	0	0	8	5	4	1	5	2.00E-01	2	0
32173241.bel	PMID_32173241	Yojana Gadiya	6	0	1	0	0	19	31	1	8	9.06E-02	2	0
32173287.bel	PMID_32173287	Yojana Gadiya	5	1	1	0	1	26	43	1	2	6.62E-02	1	0
32173576.bel	32173576.bel	Abish K	6	0	2	0	5	19	35	1	8	1.02E-01	1	0
32176772.bel	PMID_32176772	Yojana Gadiya	6	0	0	0	0	14	27	1	5	1.48E-01	2	0
32178547.bel	 32178547.bel	Shounak Baksi	3	0	0	0	6	11	19	1	3	1.73E-01	1	0
32178593.bel	32178593.bel	Thrishna	6	0	1	0	5	17	25	1	2	9.19E-02	1	0
32178711.bel	32178711.bel	Shounak Baksi	5	1	0	0	4	19	19	1	3	5.56E-02	1	0
32179150.bel	32179150.bel	Geena Mariya Jose	12	1	2	0	3	36	53	1	5	4.21E-02	1	0
32186711.bel	32186711.bel	Abish K	7	0	2	0	4	19	37	1	1	1.08E-01	1	0
32186952.bel	32186952.bel	Shounak Baksi	9	2	2	0	4	34	40	1	7	3.57E-02	2	0
32187463.bel	32187463.bel	Thrishna	4	0	0	0	4	8	8	1	2	1.43E-01	1	0
32187464.bel	32187464.bel	Priya S	3	0	0	0	4	8	11	1	63	1.96E-01	1	0
32188729.bel	32188729.bel	Geena Mariya Jose	3	1	2	1	4	30	50	1	6	5.75E-02	1	0
32188753.bel	32188753.bel	Priya S	6	1	2	0	5	13	22	1	2	1.41E-01	1	0
32189136.bel	32189136.bel	Shounak Baksi	4	0	1	0	5	15	28	1	4	1.33E-01	1	0
32190290.bel	32190290.bel	Thrishna	6	2	1	0	5	18	21	1	5	6.86E-02	4	0
32192578.bel	https://doi.org/10.1016/S0140-6736(20)30628-0	Yojana Gadiya	6	1	0	0	1	19	26	1	0	7.60E-02	2	0
32193831.bel	32193831.bel	Shounak Baksi	7	1	2	0	6	34	58	1	7	5.17E-02	1	0
32194980.bel	32194980.bel	Shounak Baksi	8	2	1	0	3	57	77	1	6	2.41E-02	4	0
32196678.bel	32196678.bel	Thrishna	4	1	2	0	5	36	95	1	8	7.54E-02	1	0
32198291.bel	32198291.bel	Shounak Baksi	4	1	0	0	3	9	10	1	9	1.39E-01	1	0
32198713.bel	32198713.bel	Thrishna	7	2	1	0	4	21	21	1	6	5.00E-02	3	0
32201080.bel	32201080.bel	Shounak Baksi	5	2	1	0	4	18	26	1	4	8.50E-02	1	0
32203186.bel	32203186.bel	Thrishna	5	1	2	0	7	24	37	1	8	6.70E-02	2	0
32203189.bel	32203189.bel	Priya S	4	1	1	1	9	16	25	1	8	1.04E-01	2	0
32205856.bel	32205856.bel	Abish K	7	1	2	0	6	30	47	1	10	5.40E-02	1	0
32213337.bel	32213337.bel	Abish K	6	0	2	0	9	16	25	1	25	1.04E-01	1	0
32213556.bel	32213556.bel	Abish K	4	1	1	0	5	27	35	1	25	4.99E-02	1	0
32215589.bel	32215589.bel	Abish K	3	0	2	0	4	4	3	1	7	2.50E-01	1	0
32215598.bel	32215598.bel	Geena Mariya Jose	7	0	2	0	9	19	58	1	7	1.70E-01	1	0
32215613.bel	32215613.bel	Thrishna	8	1	2	0	4	36	79	1	5	6.27E-02	2	0
32216698.bel	32216698.bel	Shounak Baksi	8	0	2	0	6	46	98	1	4	4.73E-02	1	0
32216803.bel	32216803.bel	Shounak Baksi	3	0	2	0	6	16	32	1	6	1.33E-01	1	0
32216961.bel	32216961.bel	Shounak Baksi	3	1	1	0	5	7	12	1	5	2.86E-01	1	0
32217556.bel	32217556.bel	Geena Mariya Jose	6	1	2	0	6	82	154	1	21	2.32E-02	1	0
32217650.bel	32217650.bel	Shounak Baksi	3	0	1	0	5	17	32	1	48	1.18E-01	1	0
32217835.bel	32217835.bel	Shounak Baksi	6	0	2	0	5	42	85	1	19	4.94E-02	1	0
32218301.bel	2218301.bel	Geena Mariya Jose	2	2	1	0	4	15	23	1	5	1.10E-01	1	0
32219356.bel	32219356.bel	Geena Mariya Jose	5	0	2	0	5	43	79	1	10	4.37E-02	2	0
32220278.bel	32220278.bel	Thrishna	7	0	0	1	5	13	12	1	2	7.69E-02	3	0
32220422.bel	32220422.bel	Priya S	7	3	1	0	5	12	23	1	3	1.74E-01	1	0
32220633.bel	32220633.bel	Priya S	6	0	3	0	4	18	31	1	7	1.01E-01	2	0
32220710.bel	32220710.bel	Abish K	6	0	2	0	4	16	26	1	4	1.08E-01	1	0
32221133.bel	32221133.bel	Thrishna	3	0	2	1	6	5	5	1	14	2.50E-01	1	0
32221306.bel	32221306.bel	Priya S	7	1	0	0	7	14	27	1	18	1.48E-01	1	0
32221983.bel	32221983.bel	Thrishna	9	2	3	0	6	51	89	1	3	3.49E-02	1	0
32222466.bel	32222466.bel	Geena Mariya Jose	9	2	1	0	4	76	149	1	12	2.61E-02	1	0
32224164.bel	32224164.bel	Priya S	8	1	2	0	8	31	48	1	1	5.16E-02	3	0
32227090.bel	32227090.bel	Abish K	5	0	2	1	4	18	24	1	5	7.84E-02	2	0
32227760.bel	32227760.bel	Thrishna	9	0	3	0	4	27	33	1	0	4.70E-02	1	0
32227916.bel	32227916.bel	Geena Mariya Jose	6	0	1	0	3	9	11	1	1	1.53E-01	1	0
32228222.bel	32228222.bel	Abish K	5	1	2	0	4	10	15	1	13	1.67E-01	1	0
32228226.bel	32228226.bel	Shounak Baksi	5	0	3	1	5	594	1271	1	18	3.61E-03	1	0
32231345.bel	32231345.bel	Shounak Baksi	6	1	2	0	4	15	19	1	16	9.05E-02	1	0
32232214.bel	32232214.bel	Abish K	6	1	1	0	7	119	195	1	1	1.39E-02	1	0
32246845.bel	Lukassen_et.al_2020.bel	Geena Mariya Jose	8	0	3	1	3	32	73	1	14	7.36E-02	1	0
32251768.bel	32251768.bel	Shounak Baksi	4	0	1	0	4	4	4	1	5	3.33E-01	1	0
32334118.bel	32334118.bel	Priya S	5	0	1	0	6	19	45	1	7	1.32E-01	1	0
32339248.bel	32339248.bel	Thrishna	4	1	1	0	5	16	25	1	29	1.04E-01	2	0
32344321.bel	32344321.bel	Geena Mariya Jose	4	0	2	0	7	13	34	1	9	2.18E-01	1	0
32345579.bel	32345579.bel	Geena Mariya Jose	7	0	2	0	8	51	148	1	8	5.80E-02	1	0
32358956.bel	32358956.bel	Priya S	5	1	1	0	6	13	28	1	3	1.79E-01	1	0
32359177.bel	32359177.bel	Geena Mariya Jose	7	0	2	0	6	25	158	1	37	2.63E-01	1	0
32359205.bel	32359205.bel	Thrishna	6	1	1	0	5	13	19	1	6	1.22E-01	1	0
32361738.bel	32361738.bel	Priya S	6	1	1	0	4	38	68	1	20	4.84E-02	1	0
332194980.bel	332194980.bel	Shounak Baksi	8	2	1	0	3	57	77	1	6	2.41E-02	4	0
Arya_et.al_2020.bel	Arya_et.al_2020.bel	Thrishna	2	1	0	1	3	34	49	1	0	4.37E-02	1	0
Balasubramaniam_et.al_2020.bel	Balasubramaniam_et.al_2020.bel	Abish K	7	1	0	1	3	36	63	1	0	5.00E-02	1	0
Bao_et.al_2020.bel	Bao_et.al_2020.bel	Geena Mariya Jose	5	1	2	1	9	14	33	1	0	1.81E-01	1	0
Brielle_et.al_2020.bel	Brielle_et.al_2020.bel	Abish K	5	1	2	1	4	11	17	1	0	1.55E-01	1	0
COVID19_drugs_targets.bel	DrugBank	Reagon Karki	2	1	0	0	1	28	57	41	205	7.54E-02	3	0
Diao_et.al_2020.bel	Diao_et.al_2020.bel	Abish K	3	0	2	0	7	10	55	1	0	6.11E-01	1	0
Gordon_et.al_2020.bel	Gordon_et.al_2020.bel	Abish K	16	5	3	0	5	333	750	1	0	6.78E-03	5	0
Guan_et.al_2020.bel	Guan_et.al_2020.bel	Shounak Baksi	5	0	2	0	4	17	28	1	0	1.03E-01	1	0
GuoAX_et.al_2020.bel	GuoAX_et.al_2020.bel	Shounak Baksi	7	1	2	0	4	44	116	1	0	6.13E-02	1	0
Guo_et.al_2020.bel	GUO_et.al_2020.bel	Geena Mariya Jose	4	0	2	1	5	6	16	1	0	5.33E-01	1	0
Huang_et.al_2020.bel	Huang_et.al_2020.bel	Thrishna	3	1	0	1	3	86	98	1	0	1.34E-02	1	0
Jazzi_et.al_2020.bel	Jazzi_et.al_2020.bel	Geena Mariya Jose	4	1	0	0	4	11	14	1	0	1.27E-01	1	0
Ju_et.al_2020.bel	Ju_et.al_2020.bel	Geena Mariya Jose	4	3	2	1	4	24	29	1	0	5.25E-02	1	0
Li_J_et.al_2020.bel	Li_J_et.al_2020.bel	Abish K	6	0	3	0	5	68	126	1	0	2.77E-02	1	0
Li_et.al_2020.bel	Li_et.al_2020.bel	Abish K	8	1	1	0	4	37	57	1	0	4.28E-02	1	0
Liao_et.al_2020.bel	Liao_et.al_2020.bel	Priya S	4	0	2	0	7	58	112	1	0	3.39E-02	1	0
Liu_X_et.al_2020.bel	Liu_X_et.al_2020.bel	Geena Mariya Jose	8	0	3	1	7	29	45	1	0	5.54E-02	1	0
Liu_et.al_2020.bel	Liu_et.al_2020.bel	Abish K	3	1	1	1	4	26	51	1	0	7.85E-02	1	0
Lokugamage_et.al_2020.bel	Lokugamage_et.al_2020.bel	Thrishna	6	2	1	1	5	13	14	1	0	8.97E-02	3	0
Meng_et.al_2020.bel	Meng_et.al_2020.bel	Thrishna	4	0	0	0	3	8	9	1	0	1.61E-01	1	0
Nehzad_et.al_2020.bel	Nezhad_et.al_2020.bel	Shounak Baksi	5	1	3	0	3	23	31	1	0	6.13E-02	2	0
Omotuyi_et.al_2020.bel	Omotuyi_et.al_2020.bel	Priya S	3	1	0	1	3	6	10	1	0	3.33E-01	1	0
Pfaender_et.al_2020.bel	Pfaender_et.al_2020.bel	Thrishna	4	1	0	0	4	8	12	1	0	2.14E-01	1	0
Pizzorno_et.al_2020.bel	Pizzorno_et.al_2020.bel	Abish K	7	1	2	0	6	37	77	1	0	5.78E-02	1	0
Rao_et.al_2020.bel	Rao_et.al_2020	Geena Mariya Jose	6	0	2	0	3	20	35	1	0	9.21E-02	1	0
Rodrigues_et.al_2020.bel	Rodrigues_et.al_2020.bel	Abish K	7	0	3	0	7	15	34	1	0	1.62E-01	1	0
Rossi_et.al_2020.bel	Rossi_et.al_2020.bel	Shounak Baksi	5	0	1	0	4	17	42	1	0	1.54E-01	1	0
Rothan_et.al_2020.bel	Rothan_et.al_2020.bel	Shounak Baksi	5	0	2	1	6	0	0	0	0	0.00E+00	0	35
SIF2BEL_RK.bel	https://doi.org/10.1101/2020.03.22.002386	Reagon Karki	1	0	0	0	1	1077	1513	1	0	1.31E-03	16	0
Shaghaghi_et.al_2020.bel	Shaghaghi_et.al_2020.bel	Priya S	3	1	0	1	3	21	28	1	0	6.67E-02	1	0
Tetz_et.al_2020.bel	Tetz_et.al_2020.bel	Priya S	5	0	0	0	3	6	10	1	0	3.33E-01	1	0
Thevarajan_et.al_2020.bel	Thevarajan_et.al_2020.bel	Priya S	4	2	1	0	6	17	22	1	0	8.09E-02	1	0
Thuy_et.al_2020.bel	Thuy_et.al_2020.bel	Priya S	4	1	0	1	3	54	105	1	0	3.67E-02	1	0
Wang_et.al_2020.bel	Wang_et.al_2020.bel	Thrishna	8	2	1	1	6	10	15	1	0	1.67E-01	2	0
Yang_et.al_2020.bel	Yang_et.al_2020.bel	Thrishna	4	0	1	0	5	21	33	1	0	7.86E-02	1	0
Zhang_et.al_2020.bel	Zhang_et.al_2020.bel	Geena Mariya Jose	9	1	3	0	6	20	41	1	0	1.08E-01	1	0
Zhu_et.al_2020.bel	Zhu_et.al_2020.bel	Abish K	7	0	2	1	9	0	0	0	0	0.00E+00	0	73
